left_input,right_input,time,delta_time
4.715628,4.827905,1304304722.973331,0.050531
4.824995,4.937204,1304304723.033720,0.060388
4.859370,4.859370,1304304723.084169,0.050450
4.665888,4.665888,1304304723.134707,0.050538
4.594147,4.487306,1304304723.195252,0.060545
5.275661,5.170147,1304304723.255722,0.060469
4.962075,5.077472,1304304723.316100,0.060379
4.530744,4.854369,1304304723.366634,0.050534
5.041284,5.377369,1304304723.427106,0.060472
5.190922,5.303769,1304304723.477484,0.050378
4.777438,5.089010,1304304723.537916,0.060432
5.602610,5.285481,1304304723.598671,0.060755
5.088904,5.199533,1304304723.659097,0.060426
5.264478,5.152467,1304304723.719622,0.060525
5.172992,5.060536,1304304723.769866,0.050244
5.090010,4.976899,1304304723.830256,0.060390
5.110850,4.999744,1304304723.880774,0.050518
5.160816,5.046132,1304304723.941340,0.060566
5.015831,5.015831,1304304723.991731,0.050391
4.880956,4.880956,1304304724.052598,0.060867
5.063238,5.063238,1304304724.103116,0.050517
5.104755,4.991316,1304304724.163507,0.060391
4.865295,4.865295,1304304724.224004,0.060497
5.003510,4.889794,1304304724.274487,0.050483
4.930513,4.818456,1304304724.335057,0.060570
5.076391,4.850774,1304304724.385542,0.050486
4.912074,4.800436,1304304724.445971,0.060428
4.848844,4.848844,1304304724.506492,0.060522
5.027888,4.692696,1304304724.556957,0.050464
4.615745,4.840903,1304304724.617455,0.060498
4.815544,4.815544,1304304724.667788,0.050333
4.815843,4.925293,1304304724.728426,0.060639
4.813075,4.927672,1304304724.778904,0.050478
4.864853,4.754289,1304304724.839445,0.060541
5.021492,5.126107,1304304724.900064,0.060618
4.944159,4.719425,1304304724.950259,0.050196
4.820450,4.820450,1304304725.010876,0.060617
5.054640,4.824884,1304304725.061465,0.050588
4.891644,4.995722,1304304725.121976,0.060512
4.819808,4.819808,1304304725.182425,0.060449
4.961654,4.848889,1304304725.243041,0.060615
4.780832,4.780832,1304304725.293490,0.050450
4.925236,5.037173,1304304725.354097,0.060607
4.957825,4.845147,1304304725.404611,0.050514
4.581110,4.893458,1304304725.465138,0.060527
5.535671,4.908991,1304304725.525419,0.060281
4.830336,5.055002,1304304725.586004,0.060585
4.939110,4.826858,1304304725.636469,0.050465
5.177554,4.936738,1304304725.686940,0.050471
4.839390,4.951934,1304304725.747460,0.060520
4.933785,4.933785,1304304725.797845,0.050385
4.818144,4.930194,1304304725.858621,0.060776
4.710522,4.934832,1304304725.919138,0.060517
4.735283,4.960773,1304304725.969730,0.050592
5.368535,5.124511,1304304726.020066,0.050335
4.602816,4.602816,1304304726.080528,0.060463
4.757489,5.001463,1304304726.131026,0.050497
4.633651,4.942561,1304304726.191493,0.060467
4.939756,5.052023,1304304726.241863,0.050370
4.872516,4.985831,1304304726.302531,0.060668
4.707548,5.043801,1304304726.363049,0.060518
4.604727,5.077006,1304304726.413480,0.050431
4.597757,4.934179,1304304726.463908,0.050429
4.480670,5.040754,1304304726.524350,0.060442
4.483499,4.968202,1304304726.574714,0.050364
4.709682,5.382494,1304304726.635251,0.060536
4.708328,5.156741,1304304726.685585,0.050334
4.715460,5.320006,1304304726.736032,0.050447
4.832023,5.436026,1304304726.796466,0.060435
4.599601,5.384899,1304304726.846966,0.050499
4.937761,5.511919,1304304726.897292,0.050327
4.836726,5.399137,1304304726.957839,0.060546
4.654126,5.540627,1304304727.018451,0.060613
4.760876,5.667710,1304304727.068835,0.050384
4.826846,5.485053,1304304727.129467,0.060632
4.833385,5.845024,1304304727.179802,0.050335
5.161763,5.849998,1304304727.240411,0.060608
4.769742,5.806643,1304304727.301017,0.060606
4.927313,5.365297,1304304727.351668,0.050652
5.464618,5.961401,1304304727.402091,0.050422
4.919722,5.652447,1304304727.462487,0.060396
5.333349,5.900726,1304304727.523037,0.060551
5.012322,5.557139,1304304727.583567,0.060530
5.555496,5.895629,1304304727.634058,0.050490
